code,level,name,parent
279,3,Sản xuất thiết bị điện khác,27
281,3,Sản xuất máy thông dụng,28
282,3,Sản xuất máy chuyên dụng,28
291,3,Sản xuất ô tô và xe có động cơ khác,29
292,3,"Sản xuất thân xe ô tô và xe có động cơ khác, rơ moóc và bán rơ moóc",29
293,3,Sản xuất phụ tùng và bộ phận phụ trợ cho xe ô tô và xe có động cơ khác,29
301,3,Đóng tàu và thuyền,30
302,3,"Sản xuất đầu máy xe lửa, xe điện và toa xe",30
303,3,"Sản xuất máy bay, tàu vũ trụ và máy móc liên quan",30
304,3,Sản xuất xe cơ giới chiến đấu dùng trong quân đội,30
309,3,Sản xuất phương tiện và thiết bị vận tải chưa được phân vào đâu,30
310,3,"Sản xuất giường, tủ, bàn, ghế",31
321,3,"Sản xuất đồ kim hoàn, đồ giả kim hoàn và các chi tiết liên quan",32
322,3,Sản xuất nhạc cụ,32
323,3,"Sản xuất dụng cụ thể dục, thể thao",32
324,3,"Sản xuất đồ chơi, trò chơi",32
325,3,"Sản xuất thiết bị, dụng cụ y tế, nha khoa, chỉnh hình và phục hồi chức năng",32
329,3,Sản xuất khác chưa được phân vào đâu,32
331,3,"Sửa chữa và bảo dưỡng máy móc, thiết bị và sản phẩm kim loại đúc sẵn",33
332,3,Lắp đặt máy móc và thiết bị công nghiệp,33
351,3,"Sản xuất, truyền tải và phân phối điện",35
352,3,"Sản xuất khí đốt, phân phối nhiên liệu khí bằng đường ống",35
353,3,"Sản xuất, phân phối hơi nước, nước nóng, điều hoà không khí và sản xuất nước đá",35
360,3,"Khai thác, xử lý và cung cấp nước",36
370,3,Thoát nước và xử lý nước thải,37
381,3,Thu gom rác thải,38
382,3,Xử lý và tiêu hủy rác thải,38
383,3,Tái chế phế liệu,38
390,3,Xử lý ô nhiễm và hoạt động quản lý chất thải khác,39
410,3,Xây dựng nhà các loại,41
421,3,Xây dựng công trình đường sắt và đường bộ,42
422,3,Xây dựng công trình công ích,42
429,3,Xây dựng công trình kỹ thuật dân dụng khác,42
431,3,Phá dỡ và chuẩn bị mặt bằng,43
432,3,"Lắp đặt hệ thống điện, hệ thống cấp thoát nước và lắp đặt xây dựng khác",43
433,3,Hoàn thiện công trình xây dựng,43
439,3,Hoạt động xây dựng chuyên dụng khác,43
451,3,Bán ô tô và xe có động cơ khác,45
452,3,"Bảo dưỡng, sửa chữa ô tô và xe có động cơ khác",45
453,3,Bán phụ tùng và các bộ phận phụ trợ của ô tô và xe có động cơ khác,45
454,3,"Bán, bảo dưỡng và sửa chữa mô tô, xe máy, phụ tùng và các bộ phận phụ trợ của mô tô, xe máy",45
461,3,"Đại lý, môi giới, đấu giá hàng hóa",46
462,3,"Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống",46
463,3,"Bán buôn lương thực, thực phẩm, đồ uống và sản phẩm thuốc lá, thuốc lào",46
464,3,Bán buôn đồ dùng gia đình,46
465,3,"Bán buôn máy móc, thiết bị và phụ tùng máy",46
466,3,Bán buôn chuyên doanh khác,46
469,3,Bán buôn tổng hợp,46
471,3,Bán lẻ trong các cửa hàng kinh doanh tổng hợp,47
472,3,"Bán lẻ lương thực, thực phẩm, đồ uống hoặc thuốc lá, thuốc lào trong các cửa hàng chuyên doanh",47
473,3,Bán lẻ nhiên liệu động cơ trong các cửa hàng chuyên doanh,47
474,3,Bán lẻ thiết bị công nghệ thông tin liên lạc trong các cửa hàng chuyên doanh,47
475,3,Bán lẻ thiết bị gia đình khác trong các cửa hàng chuyên doanh,47
476,3,"Bán lẻ hàng văn hóa, giải trí trong các cửa hàng chuyên doanh",47
477,3,Bán lẻ hàng hóa khác trong các cửa hàng chuyên doanh,47
478,3,Bán lẻ lưu động hoặc bán tại chợ,47
479,3,"Bán lẻ hình thức khác (trừ bán lẻ tại cửa hàng, lưu động hoặc tại chợ)",47
491,3,Vận tải đường sắt,49
492,3,Vận tải hành khách bằng xe buýt,49
493,3,Vận tải đường bộ khác,49
494,3,Vận tải đường ống,49
501,3,Vận tải ven biển và viễn dương,50
502,3,Vận tải đường thủy nội địa,50
511,3,Vận tải hành khách hàng không,51
512,3,Vận tải hàng hóa hàng không,51
521,3,Kho bãi và lưu giữ hàng hóa,52
522,3,Hoạt động dịch vụ hỗ trợ cho vận tải,52
531,3,Bưu chính,53
532,3,Chuyển phát,53
551,3,Dịch vụ lưu trú ngắn ngày,55
559,3,Cơ sở lưu trú khác,55
561,3,Nhà hàng và các dịch vụ ăn uống phục vụ lưu động,56
562,3,Cung cấp dịch vụ ăn uống theo hợp đồng không thường xuyên và dịch vụ ăn uống khác,56
563,3,Dịch vụ phục vụ đồ uống,56
581,3,"Xuất bản sách, ấn phẩm định kỳ và các hoạt động xuất bản khác",58
582,3,Xuất bản phần mềm,58
591,3,Hoạt động điện ảnh và sản xuất chương trình truyền hình,59
